순서,용어명,내용
2800,오일탱크 (Oil Tank),(급수펌프장치) 윤활계통에 필요한 윤활유를 저장하는 탱크이다.
2801,오일터빈 (Oil Turbine),압력유에 의해 구동되는 터빈으로서 터빈 주급유펌프에 흡입수두를 유지시키는 승압펌프를 구동시키는 터빈이다.
2802,오일트립 (Oil Trip),수동으로 유압을 가함으로써 비상 조속기를 정지시키는 것이다.
2803,"오일트립시험 (오일트립試驗, Oil Trip Test)",오일 트립장치를 작동시켜 비상 조속기 이상유무를 확인하는 시험이다. 시험순서 : Lock Out 실시→ Test(Oil Injection)→ Reset→ Lock Out 해제
2804,"오일트립작동속도 (오일트립作動速度, Speed of Oil Trip)",오일 트립장치가 동작되어 비상조속기가 작동하였을 때의 회전속도이다.
2805,오일팬스 (Oil Fence),"유조선이나 유류화학시설, 유류저장시설 등에서 기름이 바다 또는 하천에 유출시 수면에 넓게 퍼지는 것을 방지하기 위하여 사용하는 장비이다. 기본적인 형은 발포스티로폴 등을 사용한 통형의 유체부와 그 하부에 추가 달라 수중 펜스부로 구성된 것과 칸막이 형이라고 하는 한장의 비닐론포의 약간 상부 윗쪽에 유체를 달아 하부의 추로 수중에 곧바로 세우는 종류 등이 있다."
2806,오일플러싱 (Oil Flushing),윤활유 계통 또는 오일계통의 배관을 정화하기 위하여 오일을 순환시켜 불순물을 제거하는 것이다.
2807,오일훠얼 (Oil Whirl),미끄럼 베어링에서 윤활유의 유동으로 일어나는 축의 흔들림 현상이다. Journal Bearing내에서 Journal의 Pumping Action에 의해 가압된 유막압력 변동작용에 의해 일어나는 자연진동의 하나로서 Oil Whip의 초기단계 진동이다.
2808,오일휩 (Oil Whipping),Journal Bearing내에서 Journal의 Pumping Action에 의해 가압된 유막압력 변동작용에의해 일어나는 자연진동의 하나이다.
2809,"오자르트가스분석기 (오자르트가스分析器, Orsat Analyzing Apparatus)","배기가스중의 이산화탄소, 산소, 일산화탄소의 성분분석을 통한 연소상태 파악과 각종기체의 불순물 검사용으로 사용되는 기구로서 그림과 같이 휴대용 나무상자속에 3개의흡수관과 1개의 뷰렛으로 구성되어 있다. 3개의 흡수관에는 KOH용액, 알카리성 피로가 암모니아성 염화제일동용액을 넣고 각각 탄산가스, 산소, 일산화탄소를 측정하는데 채취가스를 실온까지 낮추기 위해 뷰렛을 수냉각으로 덮혀있고 탄진등의 혼입을 막기위해 여과장치가 붙어 있다."
2810,"오존(Ozone,O3)","산소의 3원자 형태(O3)로 된 기체상의 대기 구성 성분. 대류권에서는 자연적 발생원 외에 인간 활동으로 인한 발생 또는 2차 오염물질로서 광화학 작용을 통해 생성되기도 함.참고 : 대류권 오존은 대기오염의 원인이자 온실가스로도 작용함. 반면 성층권에서는 태양의 자외선 복사와 분자 상태의 산소(O2) 사이의 상호 작용에 의해 생성되며, 성층권 복사균형에 결정적인 역할을 하고, 자외선을 차단하는 역할을 함. "
2811,"오존발생기 (오존發生器, Ozonizer)","건조한 기체상태의 산소를 전기방전(5kV이상)하여 오존을 발생시키는 장치이다. 번개칠 때, 산소가 가열될 때, 인이 산화될 때, 황산이 전해될 때, 자외선이나 X선 음극성 등이 공기와 접촉할 때에도 오존이 발생한다. 오존은 산소의 동소체로 미청색의 기체이며 상온에서 서서히 산소로 분해되지만 백금분말, 산화납, 산화망산화 및 독작용이 강하며 소독, 표백, 산화 등의 목적에 쓰이며 미량이라도 장시간 흡입시에는 매우 위험하다."
2812,"오차 (誤差, Error)","측정할 때의 측정값과 참값의 차이다. 자동제어에서 실제치와 목표치의 차로 오차에는 원인에 따라 고정오차, 우연오차, 과실에 의한 오차가 있다."
2813,오토사이클 (Otto Cycle),가솔린기관의 열효율이나 출력에 기본이 되는 사이클로 정적사이클이라고도 한다. 독일의 N.A. 오토가 제작한 4사이클식 가스기관에 의해 이 사이클이 실현되었기 때문에 일반적으로 이 명칭으로 불린다.
2814,오퍼러빌리티 (Operability),기계 장치를 사용할 수 있는 조건이 된 경우에 이것을 사용해서 목적한 바와 같이 동작시키기 용이함 또는 이것을 운전 조작하기에 용이함에 대한 능력을 말한다. 오퍼러빌리티가 양호하면 작업자의 피로도 적고 안전하며 또한 생산성도 높아진다.
2815,오퍼레이션가이드 (Operation Guide),목표치와 현재치를 비교하여 제어대상(예:터빈 속도 상승율)의 목표량을 표시하는 조작의 지침이다.
2816,오프라인 (Off-Line),1. 온라인의 상대적인 개념으로 터미널과 중앙의 컴퓨터 사이에 통신 회선이 설치되어 있지 않고 사람의 손에 의해 정보가 운반되어 컴퓨터에 입력되는 것이다. 2. 전력설비가 전력계통과 연결되어 있지 않는 상태이다.
2817,"오프셋/잔류편차 (오프셋/殘留偏差, Offset)",1.설정치로부터 제어변수의 지속된 편차. 이 동작은 비례제어에서는 본질적으로 발생하고 적분제어에서는 관련이 없다.2.설정값이 고정되었을때 정상상태 편차이다. 주의 : 무부하에서 전부하까지 변화에 기인하는 Offset은 종종 부하조절 Droop이라한다.
2818,"옥내변전소 (屋內變電所, Indoor Substation)","변압기, 차단기, 개폐기 등이 옥내에 설치된 변전소이다."
2819,"옥내식화력발전소 (屋內式化力發電所, Indoor Ther- mal Plant)","보일러, 터빈, 발전기 등의 기기를 옥내에 설치한 화력발전소. 발전출력 규모가 적을때 옥내식으로 설치한다."
2820,"옥내터빈 (屋內터빈, Indoor Turbine)",건물 안에 설치된 터빈이다.
2821,옥시던트 (Oxidant),2차 오염물질로서 대기중에서 질소산화물과 탄화수소가 자외선의 촉매작용으로 생성되는 광산화물로 이것이 축적되면 광화학 스모그현상이 나타난다.
2822,"옥외식화력발전소 (屋外式化力發電所, Outdoor Thermal Power Plant)","보일러, 터빈, 발전기 등의 기기를 옥외에 설치한 화력발전소이다."
2823,"옥외터빈 (屋外터빈, Outdoor Turbine)",건물 밖에 설치하는 터빈이다.
2824,"온도 보정 계수(溫度 補正 係數,cell temperature factor)","종합 설계 계수에 근거한 보정 계수의 하나로, 모듈 온도의 변화에 따른 출력 전력량의 변화를 보정하는 계수. 다음의 식으로 나타낸다.KPT=1+αPmaxX(TCR-TS) TCR=TA+ΔTCR여기서 KPT ; 온도 보정 계수αPmax ; 최대 출력의 온도 계수TCR ; 일조 강도에 따라 가중 평균한 온도 (℃)ΔTCR ; 가중 평균한 전지의 온도 상승분 (℃) TA ; 주위 온도 (℃) TS ; 표준 시험 조건에서의 온도 (= 25℃) "
2825,"온도계 (溫度計, Thermometer)","온도를 측정하는 계기의 총칭, 팽창식(알코올, 수은 온도계), 전기식(열전대, 저항형), 광학식(광고온계)등이 있다."
2826,"온도기준운전 (溫度基準運轉, Temperature Con- stant Operation)",가스터빈에서 부하 또는 회전수 등과 같은 주위의 상태와 관계없이 터빈 가스의 온도를 일정하게 유지하도록 제어하여 운전하는 것이다.
2827,"온도기준운전 (溫度基準運轉, Temperature Constant Operation)",가스터빈에서 부하 또는 회전수 등과 같은 주위의 상태와 관계없이 터빈 가스의 온도를 일정하게 유지하도록 제어하여 운전하는 것이다.
2828,"온도낙차 (溫度落差, Temperature Head)",AH 입구측 가스온도와 입구측 공기온도와의 차. 즉 입구온도차로서 AH에서의 열교환 가능 온도차를 나타낸다.
2829,"온도전송기 (溫度傳送器, Temperature Transim- itter)",온도를 공기압이나 전류신호로 변환하여 전송하는 계기이다.
2830,"온도조정밸브 (溫度調整밸브, Temperature Regula- ting Valve)","온도를 감지하는 기구에 의해서 열매 또는 냉매유체를 조정하여, 온도를 일정하게 유지할 수 있는 자동조절밸브이다. 온도측정은 RTD나 Thermocouple로 측정하여 온도변화를 전기신호로 받아 밸브를 조절할 수 있는 공기압신호로 바꾸어 조정한다. 적용개소는 급수가열기, 원자력발전소의 냉각수 열교환기 등에 사용된다."
2831,온도차발전(溫度差發電),"바다 표층의 온수(20℃ 이상)와 심층냉수(수℃ 가량)와의 온도차를 이용하는 발전방식으로 미국, 프랑스, 일본 등에서 개발 중이다. 1979년 8월에 하와이섬 케아홀레곶 앞바다에서 깊이 650m의 찬 바닷물을 취수하여 총출력 50㎾의 실험에 성공하였다. 수백m에서 1000m 수심의 바닷속 찬물을 취수하여 표층의 온수를 데우고 증발된 작동유체를 냉각시켜 이 때의 압력차로 작동유체가 팽창하여 터빈을 회전시킨다. 원리적으로는 화력발전에서 수증기를 작동유체로 이용해서 터빈을 돌려 발전시키는 것과 같다. 온도차가 20℃ 가량으로 작기 때문에 작동유체로는 암모니아나 플론이 쓰이며 금속이나 반도체에 온도차를 주면 전류가 흐르는 제벡효과를 이용한 열전기발전과의 결합방식도 구상되고 있다."
2832,"온도효율 (溫度效率, Temperature Effectiveness Thermal Ratio)","열교환기에서 어떤 특정한 열교환 목적을 달성하는 데 가장 적당한 열교환기를 선정하기 위하여 사용되며 가능한 최대 이동열량에 대한 실제 이동열량의 비로서, 저온 또는 고온유체의 최대 가능온도변화에 대한 실제 온도변화의 비율이다."
2833,온라인 (On-Line),"1. 단말기가 데이터 통신 회선을 통하여 컴퓨터에 접속되어 있는 상태이다. 정보의 전송과정에서 인간의 개입이 필요없는 상태로서 중앙처리장치의 직접 제어하에 있는 상태이다. 2. 발전기, 차단기가 close된 상태. 전력설비가 전력계통과 연결되어 있는 상태."
2834,온배수 활용,"발전소에서 배출되는 온배수를 물고기양식, 원예농장, 수경작물재배 등에 공급하여 활용"
2835,온스 (Ounce),"기호는 Oz, 1파운드의 1/16, 28.35g으로 나타낸다."
2836,"온실가스 (溫室가스, Greenhouse Gas)","Co2, CH4, N2O, HFCs, PFCs, SF6 등 6종 이다."
2837,온실가스 및 대기오염의 동시감축(Co-benefit),"온실가스 및 대기오염의 동시 감축을 의미. 가령 Co-Benefit CDM 사업은 개도국 입장에서는 온실가스 감축, 선진 기술 이전 등 CDM 사업이 갖는 본래의 편익 외에도 수질오염, 대기오염, 폐기물 등 환경문제 해결이라는 추가적인 편익을 얻을 수 있도록 하는 사업을 말함. 예를 들어, 전력생산 시 중유와 석유의 연소 효율을 향상시키는 기술 도입과 같이 이산화탄소의 감축과 동시에 일산화질소나 일산화황 등의 배출량도 줄일 수 있는 사업이 이에 해당됨."
2838,"온실가스(Green House Gas,GHG)","이산화탄소(CO2), 메탄(CH4), 아산화질소(N2O), 수소불화탄소(HFCs), 과불화탄소(PFCs), 육불화유황(SF6) 및 그 밖에 국내법규 또는 국제법규에서 정하는 것으로 적외선 복사열을 흡수하거나 방출하여 온실효과를 유발하는 대기중 가스상태의 물질"
2839,"온실가스레지스트리 (溫室가스레지스트리, Regi stry)","온실가스 감축사업에 대하여 실질적으로 발생된 감축량에 대한 관리 시스템으로 온실가스 감축 사업을 체계적으로 모니터링, 인증, 평가하기 위한 장치이다."
2840,"온실효과 (溫室效果, Greenhouse Effect)",탄산가스와 같은 대기 오염물이 증가하여 대기권에 두터운 층을 만들어 지구표면이 열이 대기권 밖으로 확산되지 못하고 재복사하게 되어 지구가 온실속에 갇힌 것 처럼 기온이 상승하는 것이다.
2841,온실효과(Greenhouse Effect),"이산화탄소 등의 온실가스가 태양으로부터 지구에 들어오는 짧은 파장의 태양 복사에너지는 통과시키는 반면에 지구로부터 나가려는 긴 파장의 복사에너지는 흡수하여 지구를 보온하는 역할을 하는 과정. 지구 대기의 온도를 상승시키는 작용을 함.참고 : 산업화 이후 화석연료 사용의 증가로 이산화탄소, 메탄, 아산화질소, 프레온 등의 온실가스가 공기 중에 급격하게 증가하면서 지구온난화의 원인이 되고 있음. "
